date,prob_up,actual_up,next_return,window
2016-02-29,0.32574606,1,-0.0078422716207871,0
2016-03-01,0.90654004,1,0.0235068957659987,0
2016-03-02,0.7929795,1,0.0044923187773107,0
2016-03-03,0.9808313,1,0.0039195477023081,0
2016-03-04,0.893771,1,0.0032536272089529,0
2016-03-07,0.880106,0,0.000798342342523,0
2016-03-08,0.35151914,1,-0.0109175760992612,0
2016-03-09,0.09326894,1,0.0049392217235639,0
2016-03-10,0.4845085,0,0.0008024566535658,0
2016-03-14,0.7141224,0,-0.001282464768738,0
2016-03-23,0.36331493,0,-0.0065993358409971,0
2016-03-24,0.39047465,1,-0.0004429252966061,0
2016-03-28,0.5123965,1,0.0005909166760889,0
2016-03-30,0.74282354,0,0.0043876611265727,0
2016-03-31,0.30635586,0,-0.0024269601833941,0
2016-04-05,0.4041911,1,-0.0099876891031851,0
2016-04-06,0.4100247,0,0.0109215080346647,0
2016-04-07,0.29330772,0,-0.0119663701007116,0
2016-04-11,0.40030724,1,-0.0023466696101919,0
2016-04-13,0.3090267,1,0.0101009987128211,0
2016-04-14,0.7561238,0,4.773715168737702e-05,0
2016-04-15,0.8975184,1,-0.0011054572378387,0
2016-04-18,0.6479144,1,0.007026768761593,0
2016-04-19,0.860728,0,0.0031539152999671,0
2016-04-21,0.28701115,0,-0.0053784604033845,0
2016-04-22,0.3222072,1,0.0,0
2016-04-26,0.21121612,0,0.0014858827018153,0
2016-05-04,0.7959528,0,-0.0055783555956762,0
2016-05-05,0.5345773,1,-0.0001953015091179,0
2016-05-06,0.64454687,1,0.003659177078102,0
2016-05-10,0.8596719,1,0.0124338188353503,0
2016-05-12,0.5442412,0,0.0002907520272645,0
2016-05-13,0.94450134,1,-0.0087144057656262,0
2016-05-16,0.9207897,0,0.0098654376079581,0
2016-05-17,0.80656856,1,-0.0093337832360679,0
2016-05-18,0.8615604,1,0.0002928324059725,0
2016-05-20,0.8979538,0,0.0063175558998793,0
2016-05-23,0.7681454,1,-0.001362613548232,0
2016-05-25,0.8645501,1,0.0067832599975035,0
2016-06-01,0.14971061,1,0.0020489959911134,0
2016-06-02,0.80658877,1,0.0030434285206639,0
2016-06-08,0.7360533,0,0.003259548326963,0
2016-06-13,0.7414344,0,-0.0077117087768772,0
2016-06-14,0.82133627,1,-0.0019670486790573,0
2016-06-16,0.8078922,0,0.002984498812828,0
2016-06-17,0.71133703,1,-0.0037240007308986,0
2016-06-21,0.6955055,0,0.0028386464144074,0
2016-06-22,0.38222972,1,-0.0016312026271073,0
2016-06-23,0.91447985,0,0.0130223651555367,0
2016-06-24,0.7518875,0,-0.0359089470661381,0
2016-06-27,0.17363097,1,-0.0179096492888177,0
2016-06-29,0.6019962,1,0.0170274023923924,0
2016-06-30,0.6329115,0,0.0136456762987333,0
2016-07-05,0.24818783,1,-0.0071931924790248,0
2016-07-06,0.4597487,0,0.0059975643525971,0
2016-07-07,0.6414454,1,-0.0006201107386605,0
2016-07-08,0.66194427,1,0.0148906204955145,0
2016-07-11,0.111388095,1,0.0035268217324202,0
2016-07-12,0.9480384,0,0.0072632933862186,0
2016-07-13,0.9812327,1,-0.0001395171038629,0
2016-07-14,0.6371987,0,0.0055833641325044,0
2016-07-19,0.9948053,1,-0.0010169890867416,0
2016-07-20,0.72455615,1,0.0041633155053055,0
2016-07-22,0.96198016,1,0.0044852722880655,0
2016-07-26,0.79943746,0,0.0004615170774848,0
