period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2008-01-04,104.0849380493164,101.48509216308594,-0.024978118207637623,-0.0683,-0.11952499999999999,0.0,-0.2732,4,2008-01-02,2008-01-03,
2008-01-11,101.39897918701172,100.65209197998047,-0.007365825701792894,0.25865,0.387975,0.6597,-0.25,4,2008-01-07,2008-01-10,-0.11952499999999999
2008-01-18,101.46357727050781,94.8420181274414,-0.06526045425554972,,,,,0,,,0.387975
2008-01-25,93.87968444824219,95.54583740234375,0.01774774770381926,0.0,0.0,0.0,0.0,4,2008-01-22,2008-01-22,
2008-02-01,97.12584686279297,100.24266052246094,0.03209046572403129,0.22553333333333336,0.33830000000000005,0.5994,0.0,3,2008-01-29,2008-02-01,0.0
2008-02-08,98.9787368774414,95.5674057006836,-0.03446529309604984,-0.2994,-0.418575,0.0,-0.4767,3,2008-02-05,2008-02-05,0.33830000000000005
2008-02-15,96.05574035644531,97.05400085449219,0.010392512663402576,-0.54825,-0.8223750000000001,-0.5106,-0.5859,2,2008-02-11,2008-02-11,-0.418575
2008-02-22,97.32694244384766,97.39872741699219,0.0007375652757810602,-0.13396666666666665,-0.20095,0.0,-0.4019,3,2008-02-21,2008-02-22,-0.8223750000000001
2008-02-29,98.62678527832031,96.10601806640625,-0.025558647225503384,0.06239999999999998,0.09359999999999996,0.5267,-0.4019,2,2008-02-28,2008-02-29,-0.20095
2008-03-07,95.87618255615234,93.1543197631836,-0.028389353021795793,-0.25943333333333335,-0.38915000000000005,0.0,-0.7783,3,2008-03-05,2008-03-07,0.09359999999999996
2008-03-14,91.92622375488281,93.08250427246094,0.012578353274483423,0.2553,0.38295000000000007,0.5106,0.0,2,2008-03-10,2008-03-11,-0.38915000000000005
2008-03-21,92.14167022705078,95.32599639892578,0.03455902377315656,-0.296,-0.444,-0.296,-0.296,1,2008-03-18,2008-03-18,0.38295000000000007
2008-03-28,97.23137664794922,94.91459655761719,-0.02382749447969368,-0.6249,-0.9373500000000001,-0.6249,-0.6249,1,2008-03-27,2008-03-27,-0.444
2008-04-04,95.2466049194336,98.79752349853516,0.03728131393350109,0.34,0.51,0.34,0.34,1,2008-04-02,2008-04-02,-0.9373500000000001
2008-04-11,98.84803771972656,96.26425170898438,-0.026138971196051908,-0.296,-0.444,-0.296,-0.296,1,2008-04-07,2008-04-07,0.51
2008-04-18,95.93946838378906,99.94505310058594,0.04175116648315402,0.21075,0.316125,0.4215,0.0,2,2008-04-16,2008-04-16,-0.444
2008-04-25,99.99559783935547,100.75340270996094,0.007578382318618626,-0.145225,-0.21783750000000002,0.34,-0.6249,4,2008-04-22,2008-04-25,0.316125
2008-05-02,100.77503204345703,102.13187408447266,0.01346406955673829,,,,,0,,,-0.21783750000000002
2008-05-09,101.64112854003906,100.24818420410156,-0.013704534335121865,0.02920000000000001,0.04380000000000001,0.3612,-0.296,4,2008-05-05,2008-05-08,
2008-05-16,101.37407684326172,102.96187591552734,0.015662772196886054,-0.05729999999999999,-0.08177499999999999,0.34,-0.296,4,2008-05-12,2008-05-16,0.04380000000000001
2008-05-23,103.24333953857422,99.33881378173828,-0.037818669700984575,0.05135,0.077025,0.1027,0.0,2,2008-05-21,2008-05-23,-0.08177499999999999
2008-05-30,100.07498931884766,101.29469299316406,0.012187897122130309,-0.28595,-0.42892499999999995,0.0,-0.5719,2,2008-05-27,2008-05-29,0.077025
2008-06-06,100.24818420410156,98.364501953125,-0.018790188230656146,0.1895,0.28425,0.5719,-0.4939,4,2008-06-02,2008-06-05,-0.42892499999999995
2008-06-13,98.60264587402344,98.263427734375,-0.0034402539266727983,-0.26663333333333333,-0.39995,0.0,-0.5267,3,2008-06-09,2008-06-13,0.28425
2008-06-20,98.32117462158203,95.44013977050781,-0.0293022826686391,0.4767,0.7150500000000001,0.4767,0.4767,1,2008-06-20,2008-06-20,-0.39995
2008-06-27,95.34580993652344,92.50251007080078,-0.029820920999208966,0.0,0.0,0.0,0.0,2,2008-06-24,2008-06-24,0.7150500000000001
2008-07-04,92.82892608642578,91.61756134033203,-0.01304943186529961,0.0,0.0,0.3818,-0.3818,3,2008-07-01,2008-07-02,0.0
2008-07-11,90.68189239501953,89.82599639892578,-0.009438444362909637,0.3592,0.5388000000000001,0.7184,0.0,2,2008-07-07,2008-07-09,0.0
2008-07-18,89.01362609863281,91.3782730102539,0.026564999262033373,0.0,0.0,0.0,0.0,1,2008-07-14,2008-07-14,0.5388000000000001
2008-07-25,91.42900848388672,91.01555633544922,-0.004522111256520578,0.0,0.0,0.0,0.0,1,2008-07-23,2008-07-23,0.0
2008-08-01,89.68095397949219,91.50875854492188,0.020381190033367247,0.32313333333333333,0.4847000000000001,0.5106,0.0,3,2008-07-29,2008-08-01,0.0
2008-08-08,90.66014099121094,93.8371353149414,0.035042900760969165,0.22950000000000004,0.34425000000000006,0.5106,-0.0516,2,2008-08-04,2008-08-08,0.4847000000000001
2008-08-15,94.80908203125,94.41740417480469,-0.004131227178385877,-0.273,-0.4095,-0.25,-0.296,2,2008-08-13,2008-08-14,0.34425000000000006
2008-08-22,93.12629699707031,94.04022979736328,0.0098139068100358,0.0129,0.01935,0.0258,0.0,2,2008-08-19,2008-08-19,-0.4095
2008-08-29,92.13255310058594,93.41643524169922,0.013935162957132041,0.0,0.0,0.34,-0.34,5,2008-08-26,2008-08-28,0.01935
